"year","country","sex","age","population","gdp_per_capita","suicides_no","suicide_per_100k"
1985,"Belgium","male","5-14",644100,9356,12,1.86306474149977
1985,"Belgium","male","55-74",876400,9356,449,51.2323140118667
1985,"Belgium","male","75+",210800,9356,214,101.518026565465
1985,"Brazil","female","15-24",13751800,1898,280,2.03609709274422
1985,"Brazil","female","25-34",10798700,1898,269,2.49104058821895
1985,"Brazil","female","35-54",12185200,1898,296,2.42917637790106
1985,"Brazil","female","5-14",15622900,1898,41,0.262435271300463
1985,"Brazil","female","55-74",5650100,1898,148,2.61942266508557
1985,"Brazil","female","75+",988100,1898,32,3.23853860945248
1985,"Brazil","male","15-24",13834000,1898,661,4.77808298395258
1985,"Brazil","male","25-34",10762900,1898,791,7.34932035046317
1985,"Brazil","male","35-54",11986300,1898,1011,8.43462953538623
1985,"Brazil","male","5-14",15693700,1898,35,0.223019428178186
1985,"Brazil","male","55-74",5364900,1898,535,9.97222688214133
1985,"Brazil","male","75+",840300,1898,129,15.3516601213852
1985,"Bulgaria","female","15-24",575700,2044,31,5.38474900121591
1985,"Bulgaria","female","25-34",619200,2044,36,5.81395348837209
1985,"Bulgaria","female","35-54",1228400,2044,91,7.40801042005861
1985,"Bulgaria","female","5-14",632800,2044,2,0.316055625790139
1985,"Bulgaria","female","55-74",952200,2044,168,17.643352236925
1985,"Bulgaria","female","75+",222700,2044,94,42.2092501122586
1985,"Bulgaria","male","15-24",603600,2044,77,12.7567925778661
1985,"Bulgaria","male","25-34",624800,2044,105,16.8053777208707
1985,"Bulgaria","male","35-54",1217500,2044,278,22.8336755646817
1985,"Bulgaria","male","5-14",667800,2044,11,1.64719976040731
1985,"Bulgaria","male","55-74",881600,2044,345,39.1333938294011
1985,"Bulgaria","male","75+",166200,2044,218,131.167268351384
1985,"Canada","female","15-24",2143200,15522,85,3.96603210153042
1985,"Canada","female","25-34",2257500,15522,148,6.55592469545958
1985,"Canada","female","35-54",3025600,15522,255,8.42808038075093
1985,"Canada","female","5-14",1751000,15522,5,0.285551113649343
1985,"Canada","female","55-74",2092200,15522,166,7.93423190899532
1985,"Canada","female","75+",642900,15522,34,5.2885363198009
1985,"Canada","male","15-24",2224600,15522,560,25.1730648206419
1985,"Canada","male","25-34",2240500,15522,605,27.0029011381388
1985,"Canada","male","35-54",3046800,15522,774,25.4037022449783
1985,"Canada","male","5-14",1844400,15522,13,0.704836261114726
1985,"Canada","male","55-74",1841000,15522,502,27.2677892449756
1985,"Canada","male","75+",390200,15522,111,28.4469502819067
1985,"Chile","female","15-24",1216200,1658,27,2.22002960039467
1985,"Chile","female","25-34",957500,1658,19,1.98433420365535
1985,"Chile","female","35-54",1252200,1658,40,3.19437789490497
1985,"Chile","female","5-14",1203800,1658,1,0.0830702774547267
1985,"Chile","female","55-74",633700,1658,21,3.31387091683762
1985,"Chile","female","75+",141200,1658,3,2.12464589235127
1985,"Chile","male","15-24",1239900,1658,133,10.7266715057666
1985,"Chile","male","25-34",962600,1658,122,12.6740078952836
1985,"Chile","male","35-54",1201800,1658,174,14.4782825761358
1985,"Chile","male","5-14",1240900,1658,9,0.725280038681602
1985,"Chile","male","55-74",538000,1658,100,18.5873605947955
1985,"Chile","male","75+",87600,1658,34,38.8127853881279
1985,"Colombia","female","15-24",3140700,1393,117,3.72528417231827
1985,"Colombia","female","25-34",2276100,1393,45,1.97706603400554
1985,"Colombia","female","35-54",2403500,1393,31,1.289785729145
1985,"Colombia","female","5-14",3360000,1393,10,0.297619047619048
1985,"Colombia","female","55-74",1150600,1393,12,1.042934121328
1985,"Colombia","female","75+",174000,1393,3,1.72413793103448
1985,"Colombia","male","15-24",3190200,1393,256,8.02457526173908
1985,"Colombia","male","25-34",2323700,1393,193,8.30571932693549
1985,"Colombia","male","35-54",2451100,1393,188,7.67002570274571
1985,"Colombia","male","5-14",3443900,1393,12,0.348442173117686
1985,"Colombia","male","55-74",1015200,1393,113,11.1308116627266
1985,"Colombia","male","75+",123400,1393,21,17.0178282009724
1985,"Costa Rica","female","15-24",274800,2145,8,2.91120815138282
1985,"Costa Rica","female","25-34",214000,2145,3,1.4018691588785
1985,"Costa Rica","female","35-54",216000,2145,3,1.38888888888889
1985,"Costa Rica","female","5-14",288800,2145,1,0.346260387811634
1985,"Costa Rica","female","55-74",97000,2145,1,1.03092783505155
1985,"Costa Rica","female","75+",18000,2145,0,0
1985,"Costa Rica","male","15-24",285800,2145,33,11.5465360391882
1985,"Costa Rica","male","25-34",219000,2145,32,14.6118721461187
1985,"Costa Rica","male","35-54",218000,2145,32,14.6788990825688
1985,"Costa Rica","male","5-14",300800,2145,2,0.664893617021277
1985,"Costa Rica","male","55-74",91000,2145,12,13.1868131868132
1985,"Costa Rica","male","75+",13000,2145,1,7.69230769230769
1985,"Dominica","female","15-24",8900,1485,0,0
1985,"Dominica","female","25-34",5100,1485,0,0
1985,"Dominica","female","35-54",5400,1485,0,0
1985,"Dominica","female","5-14",8600,1485,0,0
1985,"Dominica","female","55-74",3800,1485,0,0
1985,"Dominica","female","75+",1200,1485,0,0
1985,"Dominica","male","15-24",9500,1485,0,0
1985,"Dominica","male","25-34",5800,1485,0,0
1985,"Dominica","male","35-54",4900,1485,0,0
1985,"Dominica","male","5-14",9300,1485,0,0
1985,"Dominica","male","55-74",3200,1485,0,0
1985,"Dominica","male","75+",700,1485,0,0
1985,"Ecuador","female","15-24",897700,2238,58,6.46095577587167
1985,"Ecuador","female","25-34",600800,2238,31,5.15978695073236
1985,"Ecuador","female","35-54",692800,2238,15,2.16512702078522
1985,"Ecuador","female","5-14",1262600,2238,4,0.316806589577063
1985,"Ecuador","female","55-74",303000,2238,4,1.32013201320132
1985,"Ecuador","female","75+",49000,2238,2,4.08163265306122
1985,"Ecuador","male","15-24",915700,2238,104,11.3574314731899
1985,"Ecuador","male","25-34",610800,2238,70,11.4603798297315
1985,"Ecuador","male","35-54",692800,2238,57,8.22748267898383
1985,"Ecuador","male","5-14",1307600,2238,7,0.535331905781585
1985,"Ecuador","male","55-74",289000,2238,33,11.4186851211073
1985,"Ecuador","male","75+",40000,2238,8,20
1985,"France","female","15-24",4220700,10765,197,4.66747222024783
1985,"France","female","25-34",4213300,10765,447,10.609261149218
1985,"France","female","35-54",6652100,10765,1065,16.0099818102554
1985,"France","female","5-14",3645600,10765,6,0.164581961816985
1985,"France","female","55-74",5255800,10765,1218,23.1743978081358
1985,"France","female","75+",2434600,10765,670,27.5199211369424
1985,"France","male","15-24",4349200,10765,740,17.0146233790122
1985,"France","male","25-34",4240100,10765,1492,35.1878493431759
1985,"France","male","35-54",6799400,10765,2752,40.4741594846604
1985,"France","male","5-14",3837000,10765,29,0.755798801146729
1985,"France","male","55-74",4471600,10765,2363,52.844619375615
1985,"France","male","75+",1263200,10765,1522,120.487650411653
1985,"Greece","female","15-24",720500,5156,13,1.80430256766135
1985,"Greece","female","25-34",679100,5156,18,2.6505669268149
1985,"Greece","female","35-54",1326900,5156,35,2.63772703293391
1985,"Greece","female","5-14",684600,5156,0,0
1985,"Greece","female","55-74",1000100,5156,47,4.6995300469953
1985,"Greece","female","75+",317900,5156,15,4.71846492607738
1985,"Greece","male","15-24",775900,5156,35,4.51089057868282
1985,"Greece","male","25-34",682900,5156,40,5.85737296822375
1985,"Greece","male","35-54",1248900,5156,82,6.56577788453839
1985,"Greece","male","5-14",731000,5156,0,0
1985,"Greece","male","55-74",874300,5156,85,9.7220633649777
1985,"Greece","male","75+",233300,5156,35,15.002143163309
1985,"Grenada","female","15-24",11725,1965,0,0
1985,"Grenada","female","25-34",7124,1965,0,0
1985,"Grenada","female","35-54",6880,1965,0,0
1985,"Grenada","female","5-14",11584,1965,0,0
1985,"Grenada","female","55-74",5254,1965,0,0
1985,"Grenada","female","75+",1510,1965,0,0
1985,"Grenada","male","15-24",11604,1965,0,0
1985,"Grenada","male","25-34",6933,1965,0,0
1985,"Grenada","male","35-54",5919,1965,0,0
1985,"Grenada","male","5-14",11950,1965,0,0
1985,"Grenada","male","55-74",3987,1965,1,25.0815149235014
1985,"Grenada","male","75+",905,1965,0,0
1985,"Iceland","female","15-24",21200,13357,0,0
1985,"Iceland","female","25-34",19400,13357,0,0
1985,"Iceland","female","35-54",25000,13357,3,12
1985,"Iceland","female","5-14",20400,13357,0,0
1985,"Iceland","female","55-74",17500,13357,4,22.8571428571429
1985,"Iceland","female","75+",6100,13357,0,0
1985,"Iceland","male","15-24",21900,13357,7,31.9634703196347
1985,"Iceland","male","25-34",20500,13357,5,24.390243902439
1985,"Iceland","male","35-54",25800,13357,7,27.1317829457364
1985,"Iceland","male","5-14",21400,13357,0,0
1985,"Iceland","male","55-74",16400,13357,5,30.4878048780488
1985,"Iceland","male","75+",4500,13357,1,22.2222222222222
1985,"Ireland","female","15-24",303600,6638,3,0.988142292490119
1985,"Ireland","female","25-34",248300,6638,11,4.43012484897302
1985,"Ireland","female","35-54",353200,6638,24,6.79501698754247
1985,"Ireland","female","5-14",342300,6638,0,0
1985,"Ireland","female","55-74",274200,6638,21,7.65864332603939
1985,"Ireland","female","75+",85900,6638,1,1.16414435389988
1985,"Ireland","male","15-24",314400,6638,48,15.2671755725191
1985,"Ireland","male","25-34",251000,6638,47,18.7250996015936
1985,"Ireland","male","35-54",367300,6638,51,13.8851075415192
1985,"Ireland","male","5-14",360200,6638,1,0.277623542476402
1985,"Ireland","male","55-74",251800,6638,65,25.8141382049245
1985,"Ireland","male","75+",56000,6638,4,7.14285714285714
1985,"Israel","female","15-24",346200,7325,7,2.02195262853842
1985,"Israel","female","25-34",324700,7325,11,3.3877425315676
1985,"Israel","female","35-54",412800,7325,19,4.60271317829457
1985,"Israel","female","5-14",437800,7325,0,0
1985,"Israel","female","55-74",290900,7325,28,9.62530079064971
1985,"Israel","female","75+",75500,7325,10,13.2450331125828
1985,"Israel","male","15-24",368300,7325,19,5.1588379038827
1985,"Israel","male","25-34",324000,7325,27,8.33333333333333
1985,"Israel","male","35-54",396400,7325,41,10.343087790111
1985,"Israel","male","5-14",461200,7325,0,0
1985,"Israel","male","55-74",249100,7325,48,19.2693697310317
1985,"Israel","male","75+",66600,7325,24,36.036036036036
1985,"Italy","female","15-24",4613300,8329,60,1.30058743199012
1985,"Italy","female","25-34",3946700,8329,106,2.68578812678947
1985,"Italy","female","35-54",7478700,8329,382,5.10783959779106
1985,"Italy","female","5-14",3898700,8329,5,0.128247877497627
1985,"Italy","female","55-74",6003500,8329,596,9.92754226701091
1985,"Italy","female","75+",1961500,8329,239,12.184552638287
1985,"Italy","male","15-24",4770000,8329,249,5.22012578616352
1985,"Italy","male","25-34",3973800,8329,361,9.08450349791132
1985,"Italy","male","35-54",7267900,8329,902,12.4107376271
1985,"Italy","male","5-14",4101400,8329,10,0.243819183693373
1985,"Italy","male","55-74",4991500,8329,1307,26.1845136732445
1985,"Italy","male","75+",1107700,8329,542,48.9302157623905
1985,"Jamaica","female","15-24",263000,1032,0,0
1985,"Jamaica","female","25-34",164000,1032,0,0
1985,"Jamaica","female","35-54",176000,1032,1,0.568181818181818
1985,"Jamaica","female","5-14",279000,1032,0,0
1985,"Jamaica","female","55-74",110000,1032,0,0
1985,"Jamaica","female","75+",38000,1032,1,2.63157894736842
1985,"Jamaica","male","15-24",259000,1032,3,1.15830115830116
1985,"Jamaica","male","25-34",156000,1032,1,0.641025641025641
1985,"Jamaica","male","35-54",169000,1032,1,0.591715976331361
1985,"Jamaica","male","5-14",291000,1032,0,0
1985,"Jamaica","male","55-74",101000,1032,0,0
1985,"Jamaica","male","75+",29000,1032,1,3.44827586206897
1985,"Japan","female","15-24",8366600,12401,491,5.86857265794947
1985,"Japan","female","25-34",8321600,12401,817,9.81782349548164
1985,"Japan","female","35-54",17953700,12401,2582,14.3814366955001
1985,"Japan","female","5-14",9041200,12401,26,0.287572446135469
1985,"Japan","female","55-74",11024900,12401,2543,23.0659688523252
1985,"Japan","female","75+",2862400,12401,1553,54.2551704863052
1985,"Japan","male","15-24",8728500,12401,1139,13.0492066219855
1985,"Japan","male","25-34",8465800,12401,1982,23.4118453069999
1985,"Japan","male","35-54",17833300,12401,6962,39.0393253071501
1985,"Japan","male","5-14",9423300,12401,59,0.626107626839854
1985,"Japan","male","55-74",8996900,12401,3763,41.8255176783114
1985,"Japan","male","75+",1791000,12401,1340,74.8185371300949
1985,"Kuwait","female","15-24",145200,14607,0,0
1985,"Kuwait","female","25-34",136200,14607,2,1.46842878120411
1985,"Kuwait","female","35-54",121900,14607,1,0.820344544708778
1985,"Kuwait","female","5-14",189600,14607,0,0
1985,"Kuwait","female","55-74",22400,14607,0,0
1985,"Kuwait","female","75+",3400,14607,0,0
1985,"Kuwait","male","15-24",150900,14607,2,1.32538104705103
1985,"Kuwait","male","25-34",228000,14607,5,2.19298245614035
1985,"Kuwait","male","35-54",235600,14607,6,2.54668930390492
1985,"Kuwait","male","5-14",196600,14607,0,0
1985,"Kuwait","male","55-74",35200,14607,1,2.84090909090909
1985,"Kuwait","male","75+",3000,14607,0,0
1985,"Luxembourg","female","15-24",27800,13743,1,3.59712230215827
1985,"Luxembourg","female","25-34",29800,13743,6,20.1342281879195
1985,"Luxembourg","female","35-54",47900,13743,5,10.4384133611691
1985,"Luxembourg","female","5-14",20500,13743,0,0
1985,"Luxembourg","female","55-74",38300,13743,0,0
1985,"Luxembourg","female","75+",13500,13743,4,29.6296296296296
1985,"Luxembourg","male","15-24",28100,13743,2,7.11743772241993
1985,"Luxembourg","male","25-34",29900,13743,3,10.0334448160535
1985,"Luxembourg","male","35-54",50200,13743,12,23.9043824701195
1985,"Luxembourg","male","5-14",21700,13743,2,9.21658986175115
1985,"Luxembourg","male","55-74",30200,13743,14,46.3576158940397
1985,"Luxembourg","male","75+",6900,13743,6,86.9565217391304
1985,"Malta","female","15-24",23000,3639,0,0
1985,"Malta","female","25-34",29600,3639,0,0
1985,"Malta","female","35-54",46100,3639,0,0
1985,"Malta","female","5-14",25900,3639,0,0
1985,"Malta","female","55-74",26500,3639,0,0
1985,"Malta","female","75+",7300,3639,0,0
1985,"Malta","male","15-24",24200,3639,1,4.13223140495868
1985,"Malta","male","25-34",29600,3639,0,0
1985,"Malta","male","35-54",40800,3639,0,0
1985,"Malta","male","5-14",27900,3639,0,0
1985,"Malta","male","55-74",21600,3639,1,4.62962962962963
1985,"Malta","male","75+",4700,3639,0,0
1985,"Mauritius","female","15-24",106300,1223,18,16.9332079021637
1985,"Mauritius","female","25-34",87200,1223,6,6.88073394495413
1985,"Mauritius","female","35-54",90500,1223,6,6.62983425414365
1985,"Mauritius","female","5-14",100900,1223,0,0
1985,"Mauritius","female","55-74",47900,1223,4,8.35073068893528
1985,"Mauritius","female","75+",8800,1223,2,22.7272727272727
1985,"Mauritius","male","15-24",109400,1223,21,19.1956124314442
1985,"Mauritius","male","25-34",88500,1223,19,21.4689265536723
1985,"Mauritius","male","35-54",89500,1223,18,20.1117318435754
1985,"Mauritius","male","5-14",104700,1223,1,0.955109837631328
1985,"Mauritius","male","55-74",45300,1223,9,19.8675496688742
1985,"Mauritius","male","75+",4400,1223,0,0
1985,"Mexico","female","15-24",8211000,2730,107,1.30312994763123
1985,"Mexico","female","25-34",5661000,2730,61,1.07754813637167
1985,"Mexico","female","35-54",6100000,2730,55,0.901639344262295
1985,"Mexico","female","5-14",10654000,2730,20,0.18772292096865
1985,"Mexico","female","55-74",2651000,2730,15,0.565824217276499
1985,"Mexico","female","75+",563000,2730,7,1.24333925399645
1985,"Mexico","male","15-24",8420000,2730,375,4.45368171021378
1985,"Mexico","male","25-34",5679000,2730,340,5.9869695368903
1985,"Mexico","male","35-54",5836000,2730,327,5.60315284441398
1985,"Mexico","male","5-14",11029000,2730,48,0.435216248073261
1985,"Mexico","male","55-74",2330000,2730,145,6.22317596566524
1985,"Mexico","male","75+",432000,2730,44,10.1851851851852
1985,"Netherlands","female","15-24",1226200,10428,38,3.09900505627141
1985,"Netherlands","female","25-34",1156600,10428,107,9.25125367456337
1985,"Netherlands","female","35-54",1792300,10428,197,10.9914634826759
1985,"Netherlands","female","5-14",950900,10428,2,0.210327058576086
1985,"Netherlands","female","55-74",1297300,10428,195,15.0312186849611
1985,"Netherlands","female","75+",474300,10428,51,10.752688172043
1985,"Netherlands","male","15-24",1278200,10428,136,10.6399624471914
1985,"Netherlands","male","25-34",1202800,10428,212,17.62554040572
1985,"Netherlands","male","35-54",1877900,10428,333,17.7325736194686
1985,"Netherlands","male","5-14",995000,10428,5,0.50251256281407
1985,"Netherlands","male","55-74",1108000,10428,256,23.1046931407942
1985,"Netherlands","male","75+",258800,10428,106,40.9582689335394
1985,"New Zealand","female","15-24",291600,8246,15,5.1440329218107
1985,"New Zealand","female","25-34",259100,8246,13,5.01736781165573
1985,"New Zealand","female","35-54",364600,8246,22,6.03400987383434
1985,"New Zealand","female","5-14",272300,8246,3,1.10172603745869
1985,"New Zealand","female","55-74",259300,8246,26,10.0269957578095
1985,"New Zealand","female","75+",81500,8246,4,4.9079754601227
1985,"New Zealand","male","15-24",305400,8246,60,19.6463654223969
1985,"New Zealand","male","25-34",255400,8246,51,19.9686765857478
1985,"New Zealand","male","35-54",371200,8246,64,17.2413793103448
1985,"New Zealand","male","5-14",282800,8246,2,0.707213578500707
1985,"New Zealand","male","55-74",235700,8246,60,25.4560882477726
1985,"New Zealand","male","75+",46900,8246,18,38.3795309168443
1985,"Panama","female","15-24",228100,3443,4,1.75361683472161
1985,"Panama","female","25-34",160000,3443,3,1.875
1985,"Panama","female","35-54",182000,3443,1,0.549450549450549
1985,"Panama","female","5-14",263200,3443,1,0.379939209726444
1985,"Panama","female","55-74",83000,3443,3,3.6144578313253
1985,"Panama","female","75+",16000,3443,0,0
1985,"Panama","male","15-24",233200,3443,10,4.28816466552316
1985,"Panama","male","25-34",168000,3443,15,8.92857142857143
1985,"Panama","male","35-54",190000,3443,14,7.36842105263158
1985,"Panama","male","5-14",274200,3443,0,0
1985,"Panama","male","55-74",87000,3443,2,2.29885057471264
1985,"Panama","male","75+",15000,3443,3,20
1985,"Paraguay","female","15-24",362788,964,9,2.48078767765196
1985,"Paraguay","female","25-34",258525,964,6,2.32085871772556
1985,"Paraguay","female","35-54",278563,964,3,1.07695566173541
1985,"Paraguay","female","5-14",457364,964,5,1.09322115426662
1985,"Paraguay","female","55-74",139742,964,4,2.86241788438694
1985,"Paraguay","female","75+",26807,964,0,0
1985,"Paraguay","male","15-24",375543,964,9,2.39652982481367
1985,"Paraguay","male","25-34",269355,964,4,1.48502905088081
1985,"Paraguay","male","35-54",288558,964,11,3.81205858094387
1985,"Paraguay","male","5-14",471865,964,1,0.211925020927596
1985,"Paraguay","male","55-74",128809,964,8,6.21074614351482
1985,"Paraguay","male","75+",19395,964,3,15.4679040989946
1985,"Portugal","female","15-24",832177,2912,41,4.92683647829729
1985,"Portugal","female","25-34",712806,2912,31,4.34900940788938
1985,"Portugal","female","35-54",1216115,2912,77,6.33163804409945
1985,"Portugal","female","5-14",812968,2912,4,0.492024286318773
1985,"Portugal","female","55-74",982911,2912,98,9.97038389030136
1985,"Portugal","female","75+",288221,2912,39,13.5312832860895
1985,"Portugal","male","15-24",849013,2912,81,9.54048995716202
1985,"Portugal","male","25-34",703271,2912,87,12.370764612788
1985,"Portugal","male","35-54",1103803,2912,185,16.7602371075273
1985,"Portugal","male","5-14",846549,2912,6,0.708759918209105
1985,"Portugal","male","55-74",805542,2912,245,30.414304902786
1985,"Portugal","male","75+",160554,2912,89,55.4330630192957
1985,"Puerto Rico","female","15-24",336300,6582,3,0.892060660124889
1985,"Puerto Rico","female","25-34",267500,6582,8,2.99065420560748
1985,"Puerto Rico","female","35-54",361600,6582,8,2.21238938053097
1985,"Puerto Rico","female","5-14",353200,6582,1,0.28312570781427
1985,"Puerto Rico","female","55-74",214700,6582,11,5.12342803912436
1985,"Puerto Rico","female","75+",53900,6582,4,7.42115027829314
1985,"Puerto Rico","male","15-24",321500,6582,28,8.70917573872473
1985,"Puerto Rico","male","25-34",235800,6582,43,18.2357930449534
1985,"Puerto Rico","male","35-54",322500,6582,70,21.7054263565891
1985,"Puerto Rico","male","5-14",368000,6582,2,0.543478260869565
1985,"Puerto Rico","male","55-74",200900,6582,66,32.8521652563464
1985,"Puerto Rico","male","75+",46600,6582,25,53.6480686695279
1985,"Republic of Korea","female","15-24",4148300,2731,296,7.13545307716414
1985,"Republic of Korea","female","25-34",3568800,2731,228,6.38870208473436
1985,"Republic of Korea","female","35-54",4267400,2731,262,6.13956976144725
1985,"Republic of Korea","female","5-14",4056400,2731,13,0.320481214870328
1985,"Republic of Korea","female","55-74",2000500,2731,161,8.04798800299925
1985,"Republic of Korea","female","75+",370700,2731,38,10.2508767197195
1985,"Republic of Korea","male","15-24",4413000,2731,678,15.3636981645139
1985,"Republic of Korea","male","25-34",3616800,2731,655,18.1099314310993
1985,"Republic of Korea","male","35-54",4285700,2731,903,21.0700702335674
1985,"Republic of Korea","male","5-14",4336000,2731,20,0.461254612546125
1985,"Republic of Korea","male","55-74",1498300,2731,393,26.2297270239605
1985,"Republic of Korea","male","75+",154800,2731,42,27.1317829457364
1985,"Saint Vincent and Grenadines","female","15-24",11900,1622,0,0
1985,"Saint Vincent and Grenadines","female","25-34",9200,1622,0,0
1985,"Saint Vincent and Grenadines","female","35-54",7400,1622,0,0
1985,"Saint Vincent and Grenadines","female","5-14",12300,1622,0,0
1985,"Saint Vincent and Grenadines","female","55-74",4100,1622,0,0
1985,"Saint Vincent and Grenadines","female","75+",1000,1622,0,0
1985,"Saint Vincent and Grenadines","male","15-24",12100,1622,0,0
1985,"Saint Vincent and Grenadines","male","25-34",9300,1622,0,0
1985,"Saint Vincent and Grenadines","male","35-54",6100,1622,2,32.7868852459016
1985,"Saint Vincent and Grenadines","male","5-14",12800,1622,0,0
1985,"Saint Vincent and Grenadines","male","55-74",2900,1622,0,0
1985,"Saint Vincent and Grenadines","male","75+",700,1622,0,0
1985,"Seychelles","female","15-24",7500,2947,1,13.3333333333333
1985,"Seychelles","female","25-34",4200,2947,0,0
1985,"Seychelles","female","35-54",4800,2947,0,0
1985,"Seychelles","female","5-14",7700,2947,0,0
1985,"Seychelles","female","55-74",3500,2947,0,0
1985,"Seychelles","female","75+",1000,2947,0,0
